"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"
"08/07/2015"	"07:55:02"	"-29.345850"	"00.916773"	"0"	"0.0"	""	"4"	"3.4"	"163"	"874"
"08/07/2015"	"07:55:03"	"-01.545848"	"00.916775"	"0"	"0.0"	""	"4"	"3.4"	"163"	"884"
"08/07/2015"	"07:55:04"	"-29.345850"	"00.916778"	"0"	"0.0"	""	"4"	"3.4"	"163"	"896"
"08/07/2015"	"07:55:05"	"-29.345855"	"00.916780"	"0"	"0.0"	""	"4"	"3.4"	"163"	"908"
"08/07/2015"	"07:55:06"	"-29.345862"	"00.916783"	"0"	"0.0"	""	"4"	"3.4"	"164"	"918"
"08/07/2015"	"07:55:07"	"-29.345860"	"00.916783"	"0"	"0.0"	""	"4"	"3.4"	"165"	"928"
"08/07/2015"	"07:55:08"	"-29.345865"	"00.916785"	"0"	"0.0"	""	"4"	"3.4"	"165"	"938"
"08/07/2015"	"07:55:09"	"-29.345867"	"00.916785"	"0"	"0.0"	""	"4"	"3.4"	"166"	"948"
"08/07/2015"	"07:55:10"	"-29.345868"	"00.916783"	"0"	"0.0"	""	"4"	"3.4"	"166"	"958"
"08/07/2015"	"07:55:11"	"-29.345868"	"00.916785"	"0"	"0.0"	""	"4"	"3.4"	"165"	"976"
"08/07/2015"	"07:55:14"	"-29.345867"	"00.916788"	"0"	"0.0"	""	"4"	"3.4"	"168"	"1010"
"08/07/2015"	"07:55:15"	"-29.345868"	"00.916788"	"0"	"0.0"	""	"4"	"3.4"	"168"	"1020"
"08/07/2015"	"07:55:16"	"-29.345868"	"00.916783"	"0"	"0.0"	""	"4"	"3.4"	"183"	"1030"
"08/07/2015"	"07:55:17"	"-29.345868"	"00.916780"	"0"	"0.0"	""	"4"	"3.4"	"181"	"1040"
"08/07/2015"	"07:55:18"	"-29.345868"	"00.916778"	"0"	"0.0"	""	"4"	"3.4"	"155"	"1050"
"08/07/2015"	"07:55:19"	"-29.345868"	"00.916777"	"0"	"0.0"	""	"4"	"3.4"	"153"	"1060"
"08/07/2015"	"07:55:20"	"-29.345867"	"00.916775"	"0"	"0.0"	""	"4"	"3.4"	"151"	"1070"
"08/07/2015"	"07:55:22"	"-29.345872"	"00.916773"	"0"	"0.0"	""	"4"	"3.4"	"154"	"1086"
"08/07/2015"	"07:55:23"	"-29.345873"	"00.916773"	"0"	"0.0"	""	"4"	"3.4"	"155"	"1096"
"08/07/2015"	"07:55:25"	"-29.345873"	"00.916772"	"0"	"0.0"	""	"4"	"3.4"	"157"	"1112"
"08/07/2015"	"07:55:26"	"-29.345868"	"00.916772"	"0"	"0.0"	""	"4"	"3.4"	"162"	"1134"
"08/07/2015"	"07:55:27"	"-29.345867"	"00.916770"	"0"	"0.0"	""	"4"	"3.4"	"166"	"1144"
"08/07/2015"	"07:55:28"	"-29.345867"	"00.916772"	"0"	"0.0"	""	"4"	"3.4"	"166"	"1155"
"08/07/2015"	"07:55:29"	"-29.345868"	"00.916775"	"0"	"0.0"	""	"4"	"3.4"	"166"	"1165"
"08/07/2015"	"07:55:30"	"-29.345867"	"00.916775"	"0"	"0.0"	""	"4"	"3.4"	"167"	"1175"
"08/07/2015"	"07:55:32"	"-29.345873"	"00.916782"	"0"	"0.0"	""	"4"	"3.4"	"168"	"1191"
"08/07/2015"	"07:55:34"	"-29.345880"	"00.916787"	"0"	"0.0"	""	"4"	"3.4"	"158"	"1208"
"08/07/2015"	"07:55:36"	"-29.345882"	"00.916792"	"0"	"0.0"	""	"4"	"3.4"	"157"	"1224"
"08/07/2015"	"07:55:37"	"-29.345882"	"00.916795"	"0"	"0.0"	""	"4"	"3.4"	"159"	"1234"
"08/07/2015"	"07:55:38"	"-29.345882"	"00.916795"	"0"	"0.0"	""	"4"	"3.4"	"162"	"1244"
"08/07/2015"	"07:55:39"	"-29.345880"	"00.916793"	"0"	"0.0"	""	"4"	"3.4"	"163"	"1266"
"08/07/2015"	"07:55:40"	"-29.345880"	"00.916797"	"0"	"0.0"	""	"4"	"3.4"	"163"	"1276"
"08/07/2015"	"07:55:41"	"-29.345880"	"00.916798"	"0"	"0.0"	""	"4"	"3.4"	"163"	"1286"
"08/07/2015"	"07:55:44"	"-29.345880"	"00.916797"	"0"	"0.0"	""	"4"	"3.4"	"164"	"1308"
"08/07/2015"	"07:55:45"	"-29.345882"	"00.916798"	"0"	"0.0"	""	"4"	"3.4"	"166"	"1318"
"08/07/2015"	"07:55:46"	"-29.345885"	"00.916800"	"0"	"0.0"	""	"4"	"3.4"	"168"	"1328"
"08/07/2015"	"07:55:47"	"-29.345888"	"00.916803"	"0"	"0.0"	""	"4"	"3.4"	"169"	"1338"
"08/07/2015"	"07:55:48"	"-29.345888"	"00.916800"	"0"	"0.0"	""	"4"	"3.4"	"180"	"1348"
"08/07/2015"	"07:55:49"	"-29.345883"	"00.916798"	"0"	"0.0"	""	"4"	"3.4"	"180"	"1358"
"08/07/2015"	"07:55:50"	"-29.345880"	"00.916795"	"0"	"0.0"	""	"4"	"3.4"	"177"	"1368"
"08/07/2015"	"07:55:51"	"-29.345880"	"00.916793"	"0"	"0.0"	""	"4"	"3.4"	"177"	"1390"
"08/07/2015"	"07:55:52"	"-29.345880"	"00.916793"	"0"	"0.0"	""	"4"	"3.4"	"176"	"1400"
"08/07/2015"	"07:55:54"	"-29.345875"	"00.916790"	"0"	"0.0"	""	"4"	"3.4"	"176"	"1416"
"08/07/2015"	"07:55:56"	"-29.345872"	"00.916788"	"0"	"0.0"	""	"4"	"3.4"	"176"	"1432"
"08/07/2015"	"07:55:57"	"-29.345872"	"00.916788"	"0"	"0.0"	""	"4"	"3.4"	"177"	"1442"
"08/07/2015"	"07:55:58"	"-29.345870"	"00.916787"	"0"	"0.0"	""	"4"	"3.4"	"178"	"1452"
"08/07/2015"	"07:55:59"	"-29.345870"	"00.916787"	"0"	"0.0"	""	"4"	"3.4"	"177"	"1462"
"08/07/2015"	"07:56:00"	"-29.345867"	"00.916787"	"0"	"0.0"	""	"4"	"3.4"	"177"	"1472"
"08/07/2015"	"07:56:01"	"-29.345867"	"00.916787"	"2"	"0.0"	""	"4"	"3.4"	"176"	"1483"
"08/07/2015"	"07:56:02"	"-29.345867"	"00.916787"	"2"	"0.0"	""	"4"	"3.4"	"175"	"1493"
"08/07/2015"	"07:56:04"	"-29.345870"	"00.916788"	"2"	"0.0"	""	"4"	"3.4"	"175"	"1521"
"08/07/2015"	"07:56:05"	"-29.345867"	"00.916790"	"2"	"0.0"	""	"4"	"3.4"	"174"	"1531"
"08/07/2015"	"07:56:07"	"-29.345867"	"00.916793"	"2"	"0.0"	""	"4"	"3.4"	"175"	"1547"
"08/07/2015"	"07:56:07"	"-29.345867"	"00.916792"	"2"	"0.0"	""	"4"	"3.4"	"175"	"1557"
"08/07/2015"	"07:56:08"	"-29.345865"	"00.916793"	"2"	"0.0"	""	"4"	"3.4"	"175"	"1567"
"08/07/2015"	"07:56:09"	"-29.345867"	"00.916795"	"2"	"0.0"	""	"4"	"3.4"	"175"	"1577"
"08/07/2015"	"07:56:10"	"-29.345870"	"00.916798"	"2"	"0.0"	""	"4"	"3.4"	"176"	"1587"
"08/07/2015"	"07:56:11"	"-29.345870"	"00.916802"	"2"	"0.0"	""	"4"	"3.4"	"177"	"1597"
"08/07/2015"	"07:56:13"	"-29.345873"	"00.916803"	"2"	"0.0"	""	"4"	"3.4"	"179"	"1613"
"08/07/2015"	"07:56:14"	"-29.345873"	"00.916802"	"2"	"0.0"	""	"4"	"3.4"	"179"	"1623"
"08/07/2015"	"07:56:15"	"-29.345872"	"00.916800"	"2"	"0.0"	""	"4"	"3.4"	"179"	"1645"
"08/07/2015"	"07:56:16"	"-29.345872"	"00.916800"	"2"	"0.0"	""	"4"	"3.4"	"179"	"1655"
"08/07/2015"	"07:56:19"	"-29.345875"	"00.916807"	"2"	"0.0"	""	"4"	"3.4"	"180"	"1677"
"08/07/2015"	"07:56:20"	"-29.345875"	"00.916807"	"2"	"0.0"	""	"4"	"3.4"	"180"	"1687"
"08/07/2015"	"07:56:21"	"-29.345877"	"00.916805"	"2"	"0.0"	""	"4"	"3.4"	"181"	"1697"
"08/07/2015"	"07:56:23"	"-29.345875"	"00.916803"	"2"	"0.0"	""	"4"	"3.4"	"182"	"1713"
"08/07/2015"	"07:56:24"	"-29.345873"	"00.916802"	"2"	"0.0"	""	"4"	"3.4"	"181"	"1723"
"08/07/2015"	"07:56:25"	"-29.345873"	"00.916800"	"2"	"0.0"	""	"4"	"3.4"	"181"	"1733"
"08/07/2015"	"07:56:26"	"-29.345872"	"00.916800"	"2"	"0.0"	""	"4"	"3.4"	"181"	"1743"
"08/07/2015"	"07:56:28"	"-29.345877"	"00.916802"	"2"	"0.0"	""	"4"	"3.4"	"181"	"1767"
"08/07/2015"	"07:56:29"	"-29.345877"	"00.916802"	"2"	"0.0"	""	"4"	"3.4"	"181"	"1789"
"08/07/2015"	"07:56:30"	"-29.345875"	"00.916802"	"2"	"0.0"	""	"4"	"3.4"	"182"	"1799"
"08/07/2015"	"07:56:31"	"-29.345875"	"00.916805"	"2"	"0.0"	""	"4"	"3.4"	"181"	"1809"
"08/07/2015"	"07:56:32"	"-29.345877"	"00.916808"	"2"	"0.0"	""	"4"	"3.4"	"181"	"1819"
"08/07/2015"	"07:56:34"	"-29.345875"	"00.916808"	"2"	"0.0"	""	"4"	"3.4"	"181"	"1835"
"08/07/2015"	"07:56:35"	"-29.345875"	"00.916805"	"2"	"0.0"	""	"4"	"3.4"	"181"	"1845"
"08/07/2015"	"07:56:36"	"-29.345875"	"00.916805"	"2"	"0.0"	""	"4"	"3.4"	"181"	"1855"
"08/07/2015"	"07:56:37"	"-29.345877"	"00.916807"	"2"	"0.0"	""	"4"	"3.4"	"181"	"1865"
"08/07/2015"	"07:56:38"	"-29.345877"	"00.916808"	"2"	"0.0"	""	"4"	"3.4"	"181"	"1875"
"08/07/2015"	"07:56:39"	"-29.345877"	"00.916807"	"2"	"0.0"	""	"4"	"3.4"	"181"	"1885"
"08/07/2015"	"07:56:40"	"-29.345877"	"00.916807"	"2"	"0.0"	""	"4"	"3.4"	"181"	"1907"
"08/07/2015"	"07:56:41"	"-29.345875"	"00.916807"	"2"	"0.0"	""	"4"	"3.4"	"180"	"1917"
"08/07/2015"	"07:56:43"	"-29.345878"	"00.916808"	"2"	"0.0"	""	"4"	"3.4"	"180"	"1933"
"08/07/2015"	"07:56:44"	"-29.345875"	"00.916807"	"2"	"0.0"	""	"4"	"3.4"	"180"	"1943"
"08/07/2015"	"07:56:46"	"-29.345870"	"00.916802"	"2"	"0.0"	""	"4"	"3.4"	"181"	"1959"
"08/07/2015"	"07:56:47"	"-29.345873"	"00.916803"	"4"	"0.0"	""	"4"	"3.4"	"181"	"1969"
"08/07/2015"	"07:56:48"	"-29.345872"	"00.916802"	"4"	"0.0"	""	"4"	"3.4"	"181"	"1979"
"08/07/2015"	"07:56:50"	"-29.345867"	"00.916798"	"4"	"0.0"	""	"4"	"3.4"	"181"	"1995"
